id,record_id,sample_id,name,start_datetime,sample_datetime,attention,meditation,delta,theta,low_alpha,high_alpha,low_beta,high_beta,low_gamma,high_gamma,blink_strength,signal_noise
34,12,34,sample-data,2013.11.20 14:57:51.615,2013.11.20 14:58:28.37593,21,94,548333.0,441964.0,118519.0,135126.0,163107.0,279060.0,121755.0,13288.0,66,26
35,12,35,sample-data,2013.11.20 14:57:51.615,2013.11.20 14:58:29.38593,21,94,1191634.0,827696.0,206436.0,49811.0,136765.0,136103.0,104987.0,68985.0,66,25
36,12,36,sample-data,2013.11.20 14:57:51.615,2013.11.20 14:58:30.39593,21,94,380139.0,33420.0,6287.0,5919.0,6217.0,10931.0,6006.0,3187.0,45,26
37,12,37,sample-data,2013.11.20 14:57:51.615,2013.11.20 14:58:31.40593,21,94,856939.0,126600.0,161377.0,73289.0,143127.0,73189.0,27127.0,9321.0,45,51
38,12,38,sample-data,2013.11.20 14:57:51.615,2013.11.20 14:58:32.41593,21,94,77982.0,96040.0,16031.0,19610.0,4410.0,10399.0,8595.0,1380.0,45,25
39,12,39,sample-data,2013.11.20 14:57:51.615,2013.11.20 14:58:33.42593,20,70,1164791.0,615764.0,59330.0,20747.0,46305.0,64639.0,58433.0,7810.0,225,0
40,12,40,sample-data,2013.11.20 14:57:51.615,2013.11.20 14:58:34.43593,20,70,2040472.0,207558.0,128711.0,45006.0,199543.0,162546.0,55808.0,32216.0,149,26
41,12,41,sample-data,2013.11.20 14:57:51.615,2013.11.20 14:58:35.44594,37,40,1196726.0,79742.0,2576.0,16365.0,26669.0,27989.0,8877.0,3760.0,95,0
42,12,42,sample-data,2013.11.20 14:57:51.615,2013.11.20 14:58:36.45593,37,40,644017.0,73999.0,10316.0,4399.0,22590.0,5611.0,3522.0,2866.0,95,51
43,12,43,sample-data,2013.11.20 14:57:51.615,2013.11.20 14:58:37.46593,37,40,995751.0,132437.0,8783.0,6128.0,5535.0,8017.0,1602.0,680.0,95,25
44,12,44,sample-data,2013.11.20 14:57:51.615,2013.11.20 14:58:38.47593,37,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104,25
45,12,45,sample-data,2013.11.20 14:57:51.615,2013.11.20 14:58:39.48593,37,40,2222122.0,106277.0,28730.0,19923.0,68068.0,87104.0,56911.0,32859.0,104,51
46,12,46,sample-data,2013.11.20 14:57:51.615,2013.11.20 14:58:40.49593,37,40,1720287.0,353620.0,111145.0,107801.0,239989.0,114354.0,80232.0,77108.0,104,51
47,12,47,sample-data,2013.11.20 14:57:51.615,2013.11.20 14:58:41.50593,37,40,1080017.0,313081.0,50871.0,39453.0,106591.0,144773.0,32054.0,44398.0,104,51
48,12,48,sample-data,2013.11.20 14:57:51.615,2013.11.20 14:58:42.51593,37,40,2524860.0,187341.0,528052.0,269415.0,145386.0,77819.0,49218.0,20410.0,104,51
49,12,49,sample-data,2013.11.20 14:57:51.615,2013.11.20 14:58:43.52593,37,40,976215.0,128793.0,28623.0,24162.0,131407.0,49478.0,105801.0,80865.0,104,26
50,12,50,sample-data,2013.11.20 14:57:51.615,2013.11.20 14:58:44.53593,37,40,1704864.0,1125193.0,79529.0,205000.0,416272.0,483048.0,419949.0,140598.0,104,51
51,12,51,sample-data,2013.11.20 14:57:51.615,2013.11.20 14:58:45.54593,37,40,428503.0,459621.0,108008.0,392251.0,64200.0,227124.0,33641.0,169761.0,104,51
52,12,52,sample-data,2013.11.20 14:57:51.615,2013.11.20 14:58:46.55593,37,40,609949.0,458704.0,175996.0,134984.0,114361.0,180276.0,87909.0,69538.0,104,51
53,12,53,sample-data,2013.11.20 14:57:51.615,2013.11.20 14:58:47.56593,37,40,350119.0,924179.0,418366.0,417216.0,762488.0,386392.0,219139.0,212372.0,104,51
54,12,54,sample-data,2013.11.20 14:57:51.615,2013.11.20 14:58:48.57594,37,40,71926.0,102062.0,6844.0,11481.0,31167.0,15995.0,23913.0,4995.0,104,26
55,12,55,sample-data,2013.11.20 14:57:51.615,2013.11.20 14:58:49.58593,37,40,378190.0,223502.0,14685.0,46634.0,73480.0,16625.0,41743.0,15135.0,104,26
56,12,56,sample-data,2013.11.20 14:57:51.615,2013.11.20 14:58:50.59593,37,40,1367256.0,236230.0,24635.0,9793.0,33873.0,102064.0,79097.0,12218.0,157,26
57,12,57,sample-data,2013.11.20 14:57:51.615,2013.11.20 14:58:51.60593,37,40,496397.0,176289.0,403593.0,198735.0,184545.0,115557.0,141041.0,43494.0,157,26
